#TEXT/SIMPLE
# elo ehi spectrum
3.0000000000000e-01 3.0999999998886e-01 2.8129613624933e-05
3.0999999998886e-01 3.1999999997772e-01 1.5470653401270e-05
3.1999999997772e-01 3.2999999996658e-01 8.9573998628651e-06
3.2999999996658e-01 3.3999999995544e-01 5.7026960983764e-06
3.3999999995544e-01 3.4999999994429e-01 4.1313036488203e-06
3.4999999994429e-01 3.5999999993315e-01 3.3999872764929e-06
3.5999999993315e-01 3.6999999992201e-01 3.0957325439156e-06
3.6999999992201e-01 3.7999999991087e-01 2.9895872994055e-06
3.7999999991087e-01 3.8999999989973e-01 2.9733350809364e-06
3.8999999989973e-01 3.9999999988859e-01 2.9943122351672e-06
3.9999999988859e-01 4.0999999987745e-01 2.9451412294575e-06
4.0999999987745e-01 4.1999999986631e-01 2.9540808360249e-06
4.1999999986631e-01 4.2999999985517e-01 2.9874546995053e-06
4.2999999985517e-01 4.3999999984403e-01 3.0146907169403e-06
4.3999999984403e-01 4.4999999983288e-01 3.0353505611194e-06
4.4999999983288e-01 4.5999999982174e-01 3.0496243675096e-06
4.5999999982174e-01 4.6999999981060e-01 3.0579644689552e-06
4.6999999981060e-01 4.7999999979946e-01 3.0609151161487e-06
4.7999999979946e-01 4.8999999978832e-01 3.0590358421983e-06
4.8999999978832e-01 4.9999999977718e-01 3.0528649215376e-06
4.9999999977718e-01 5.0999999976604e-01 3.0429027614596e-06
5.0999999976604e-01 5.1999999975490e-01 3.0296118461013e-06
5.1999999975490e-01 5.2999999974376e-01 3.0134099314020e-06
5.2999999974376e-01 5.3999999973261e-01 2.5858134612388e-06
5.3999999973261e-01 5.4999999972147e-01 2.3377806298426e-06
5.4999999972147e-01 5.5999999971033e-01 2.3439657742647e-06
5.5999999971033e-01 5.6999999969919e-01 2.3473438437441e-06
5.6999999969919e-01 5.7999999968805e-01 2.3481648960781e-06
5.7999999968805e-01 5.8999999967691e-01 2.3466624679013e-06
5.8999999967691e-01 5.9999999966577e-01 2.3429851048453e-06
5.9999999966577e-01 6.0999999965463e-01 2.3365832971209e-06
6.0999999965463e-01 6.1999999964349e-01 2.3293984482995e-06
6.1999999964349e-01 6.2999999963235e-01 2.3206664329945e-06
6.2999999963235e-01 6.3999999962120e-01 2.3105465907165e-06
6.3999999962120e-01 6.4999999961006e-01 2.2991842406124e-06
6.4999999961006e-01 6.5999999959892e-01 2.2867143450979e-06
6.5999999959892e-01 6.6999999958778e-01 2.2732600112368e-06
6.6999999958778e-01 6.7999999957664e-01 2.2589347141055e-06
6.7999999957664e-01 6.8999999956550e-01 2.2438412867614e-06
6.8999999956550e-01 6.9999999955436e-01 2.2279804735590e-06
6.9999999955436e-01 7.0999999954322e-01 2.2035902886741e-06
7.0999999954322e-01 7.1999999953208e-01 2.1186572006007e-06
7.1999999953208e-01 7.2999999952093e-01 2.1036305710067e-06
7.2999999952093e-01 7.3999999950979e-01 2.0881881850252e-06
7.3999999950979e-01 7.4999999949865e-01 2.0723868433375e-06
7.4999999949865e-01 7.5999999948751e-01 2.0562783955646e-06
7.5999999948751e-01 7.6999999947637e-01 2.0399099561004e-06
7.6999999947637e-01 7.7999999946523e-01 2.0233248709898e-06
7.7999999946523e-01 7.8999999945409e-01 2.0065628426781e-06
7.8999999945409e-01 7.9999999944295e-01 1.9896162113825e-06
7.9999999944295e-01 8.0999999943181e-01 1.9725343603465e-06
8.0999999943181e-01 8.1999999942067e-01 1.9554477772147e-06
8.1999999942067e-01 8.2999999940952e-01 1.9383095984227e-06
8.2999999940952e-01 8.3999999939838e-01 1.9211444280756e-06
8.3999999939838e-01 8.4999999938724e-01 1.9039746765045e-06
8.4999999938724e-01 8.5999999937610e-01 1.8859028138903e-06
8.5999999937610e-01 8.6999999936496e-01 1.8638179735470e-06
8.6999999936496e-01 8.7999999935382e-01 1.8102371273627e-06
8.7999999935382e-01 8.8999999934268e-01 1.7947677508090e-06
8.8999999934268e-01 8.9999999933154e-01 1.7793127641644e-06
8.9999999933154e-01 9.0999999932040e-01 1.7638870601016e-06
9.0999999932040e-01 9.1999999930925e-01 1.7485041828211e-06
9.1999999930925e-01 9.2999999929811e-01 1.7331762922314e-06
9.2999999929811e-01 9.3999999928697e-01 1.7179146145963e-06
9.3999999928697e-01 9.4999999927583e-01 1.7027290245180e-06
9.4999999927583e-01 9.5999999926469e-01 1.6876287180416e-06
9.5999999926469e-01 9.6999999925355e-01 1.6726219061261e-06
9.6999999925355e-01 9.7999999924241e-01 1.6577155323538e-06
9.7999999924241e-01 9.8999999923127e-01 1.6429162556913e-06
9.8999999923127e-01 9.9999999922013e-01 1.6282299090055e-06
9.9999999922013e-01 1.009999999209 1.6136614354680e-06
1.009999999209 1.019999999198 1.5992156096555e-06
1.019999999198 1.029999999187 1.5848962736189e-06
1.029999999187 1.039999999176 1.5707069373370e-06
1.039999999176 1.049999999164 1.5566504802468e-06
1.049999999164 1.059999999153 1.5427296027784e-06
1.059999999153 1.069999999142 1.5289464272701e-06
1.069999999142 1.079999999131 1.5150217805166e-06
1.079999999131 1.089999999120 1.5013487847844e-06
1.089999999120 1.099999999109 1.4880022369348e-06
1.099999999109 1.109999999098 1.4747982442627e-06
1.109999999098 1.119999999086 1.4617377073521e-06
1.119999999086 1.129999999075 1.4488208769862e-06
1.129999999075 1.139999999064 1.4360479570300e-06
1.139999999064 1.149999999053 1.4234192007449e-06
1.149999999053 1.159999999042 1.4109342621078e-06
1.159999999042 1.169999999031 1.3985929593757e-06
1.169999999031 1.179999999020 1.3863949053312e-06
1.179999999020 1.189999999008 1.3743395187006e-06
1.189999999008 1.199999998997 1.3624259464901e-06
1.199999998997 1.209999998986 1.3506536037460e-06
1.209999998986 1.219999998975 1.3390213564035e-06
1.219999998975 1.229999998964 1.3275285010829e-06
1.229999998964 1.239999998953 1.3161739296914e-06
1.239999998953 1.249999998942 1.3049564889649e-06
1.249999998942 1.259999998930 1.2938749625346e-06
1.259999998930 1.269999998919 1.2829281568894e-06
1.269999998919 1.279999998908 1.2721147379243e-06
1.279999998908 1.289999998897 1.2614333996639e-06
1.289999998897 1.299999998886 1.2508827835948e-06
1.299999998886 1.309999998875 1.2384599442164e-06
1.309999998875 1.319999998864 1.2248079831128e-06
1.319999998864 1.329999998852 1.2147787615689e-06
1.329999998852 1.339999998841 1.2048703129057e-06
1.339999998841 1.349999998830 1.1950813168051e-06
1.349999998830 1.359999998819 1.1854104074282e-06
1.359999998819 1.369999998808 1.1758561759949e-06
1.369999998808 1.379999998797 1.1664173211391e-06
1.379999998797 1.389999998786 1.1570923513001e-06
1.389999998786 1.399999998774 1.1478799568790e-06
1.399999998774 1.409999998763 1.1387787146218e-06
1.409999998763 1.419999998752 1.1297872357501e-06
1.419999998752 1.429999998741 1.1209040941655e-06
1.429999998741 1.439999998730 1.1121278985458e-06
1.439999998730 1.449999998719 1.1034572217864e-06
1.449999998719 1.459999998708 1.0948906585009e-06
1.459999998708 1.469999998696 1.0864269449869e-06
1.469999998696 1.479999998685 1.0780645379641e-06
1.479999998685 1.489999998674 1.0698022141338e-06
1.489999998674 1.499999998663 1.0616385126169e-06
1.499999998663 1.509999998652 1.0535721407622e-06
1.509999998652 1.519999998641 1.0456017060216e-06
1.519999998641 1.529999998630 1.0377258500493e-06
1.529999998630 1.539999998619 1.0299433118641e-06
1.539999998619 1.549999998607 1.0222527966827e-06
