Sno_1,Name_1,kT,clean_name,Sno_2,name_2,norm
507,SWIFTJ2134.9-2729,0.06,SWIFTJ2134.9-2729,778,SWIFTJ2134.9-2729,9.69E-05
508,SWIFTJ2254.2+1147A,0.06,SWIFTJ2254.2+1147,825,SWIFTJ2254.2+1147,0.00053
509,SWIFTJ0947.7+0726,0.061,SWIFTJ0947.7+0726,836,SWIFTJ0947.7+0726,0.00836
510,SWIFTJ0641.3+3257,0.07,SWIFTJ0641.3+3257,541,SWIFTJ0641.3+3257,-99
511,SWIFTJ0655.8+3957,0.07,SWIFTJ0655.8+3957,794,SWIFTJ0655.8+3957,0.000135
512,SWIFTJ0942.2+2344,0.07,SWIFTJ0942.2+2344,757,SWIFTJ0942.2+2344,6.13E-05
513,SWIFTJ1105.7+5854B,0.07,SWIFTJ1105.7+5854,688,SWIFTJ1105.7+5854,2.19E-05
514,SWIFTJ1508.6-4953,0.07,SWIFTJ1508.6-4953,758,SWIFTJ1508.6-4953,6.14E-05
515,SWIFTJ2018.8+4041,0.07,SWIFTJ2018.8+4041,526,SWIFTJ2018.8+4041,-99
516,SWIFTJ1427.5+1949,0.075,SWIFTJ1427.5+1949,798,SWIFTJ1427.5+1949,0.000152
517,SWIFTJ1807.9+1124,0.077,SWIFTJ1807.9+1124,824,SWIFTJ1807.9+1124,0.000523
518,SWIFTJ0242.2+0531,0.079,SWIFTJ0242.2+0531,765,SWIFTJ0242.2+0531,7.72E-05
519,SWIFTJ0441.2-2704,0.079,SWIFTJ0441.2-2704,779,SWIFTJ0441.2-2704,0.000101
520,SWIFTJ0354.2+0250,0.08,SWIFTJ0354.2+0250,641,SWIFTJ0354.2+0250,7.9E-06
521,SWIFTJ0634.7-7445,0.08,SWIFTJ0634.7-7445,663,SWIFTJ0634.7-7445,1.35E-05
522,SWIFTJ0654.6+0700,0.08,SWIFTJ0654.6+0700,812,SWIFTJ0654.6+0700,0.000204
523,SWIFTJ1144.1+3652,0.08,SWIFTJ1144.1+3652,787,SWIFTJ1144.1+3652,0.00012
524,SWIFTJ1205.8+4959,0.08,SWIFTJ1205.8+4959,633,SWIFTJ1205.8+4959,5.84E-06
525,SWIFTJ1346.4+1924,0.08,SWIFTJ1346.4+1924,775,SWIFTJ1346.4+1924,9.05E-05
526,SWIFTJ1521.8+0334,0.08,SWIFTJ1521.8+0334,649,SWIFTJ1521.8+0334,8.81E-06
527,SWIFTJ1530.0-1300,0.08,SWIFTJ1530.0-1300,686,SWIFTJ1530.0-1300,2.14E-05
528,SWIFTJ1822.0+6421,0.08,SWIFTJ1822.0+6421,703,SWIFTJ1822.0+6421,2.88E-05
529,SWIFTJ2137.8-1433,0.08,SWIFTJ2137.8-1433,628,SWIFTJ2137.8-1433,4.85E-06
530,SWIFTJ1023.5+1952,0.081,SWIFTJ1023.5+1952,816,SWIFTJ1023.5+1952,0.000258
531,SWIFTJ1349.3-3018,0.081,SWIFTJ1349.3-3018,831,SWIFTJ1349.3-3018,0.00117
532,SWIFTJ0801.9-4946,0.082,SWIFTJ0801.9-4946,797,SWIFTJ0801.9-4946,0.000151
533,SWIFTJ0042.9+3016B,0.09,SWIFTJ0042.9+3016,736,SWIFTJ0042.9+3016,4.62E-05
