Name,T,norm,Calc_energy_flux,Sample_flux,plus_Error,minus_Error,log_energy_flux,log_sample_flux
SWIFTJ0502.1+0332,0.13,3.13e-05,3.74314988478e-16,3.69318552178e-16,3.00948e-17,2.11357e-17,-15.426762782334926,-15.432598875651815
SWIFTJ0640.4-2554,0.13,0.000118,1.41115565839e-15,1.39046694567e-15,7.21424e-17,8.95075e-17,-14.850425078483521,-14.856839330773344
SWIFTJ0718.1+4403,0.13,3.55e-05,4.24542592359e-16,4.290833883e-16,3.04846e-17,2.29551e-17,-15.372078732514098,-15.36745829858623
SWIFTJ0759.8-3844,0.13,1.72e-05,2.05693871259e-16,2.06823657461e-16,1.07215e-17,1.37797e-17,-15.686778648111085,-15.684399786095288
SWIFTJ0959.7-3112,0.13,4.14e-05,4.95100347298e-16,5.05011829291e-16,2.69684e-17,4.20512e-17,-15.30530676902416,-15.296698448939113
SWIFTJ1120.8-4316,0.13,2.22e-05,2.65488598165e-16,2.7367127429e-16,5.94553e-18,2.2939e-17,-15.575954125658058,-15.56277078560783
SWIFTJ1232.0-4219,0.13,1.02e-05,1.21981254157e-16,1.21773153819e-16,9.2948e-18,8.71902e-18,-15.913706905732212,-15.914448445967896
SWIFTJ1232.1+2009,0.13,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ1905.4+4231,0.13,1.73e-05,2.06889774791e-16,2.06056420903e-16,1.16036e-17,1.71047e-17,-15.684260973141717,-15.686013847923158
SWIFTJ2042.3+7507,0.13,0.000377,4.50852247286e-15,4.4420979458e-15,3.84737e-16,2.62422e-16,-14.345965761229925,-14.35241186972909
SWIFTJ2303.1-1837,0.13,1.23e-05,1.470950353e-16,1.51473142423e-16,5.81319e-18,1.38301e-17,-15.832401985180319,-15.819664364729562
SWIFTJ1937.5-0613,0.132,0.00067,9.6933843224e-15,9.90210527831e-15,5.01901e-16,7.38851e-16,-14.013524568054038,-14.004272460599259
SWIFTJ0742.5+4948,0.134,0.000217,3.77438256401e-15,3.72900867539e-15,2.26728e-16,2.21771e-16,-14.423154082703572,-14.428406606268663
SWIFTJ0222.6+5222,0.14,2.1e-05,6.12971578454e-16,6.08309439485e-16,4.09738e-17,3.69815e-17,-15.212559661871147,-15.21587544428938
SWIFTJ0405.3-3707,0.14,3.22e-06,9.39889784516e-17,9.67501997626e-17,4.26094e-18,7.86482e-18,-16.026923070637277,-16.014348129609175
SWIFTJ0451.4-0346,0.14,1.31e-05,3.82377505379e-16,3.84822948715e-16,1.95175e-17,2.70738e-17,-15.417507664452936,-15.41473903693762
SWIFTJ0452.2+4933,0.14,0.000163,4.75782717844e-15,4.87677919683e-15,1.05208e-16,3.32273e-16,-14.32259133716497,-14.31186690726859
SWIFTJ0923.7+2255,0.14,3.08e-05,8.99025049733e-16,9.09927881804e-16,4.23441e-17,6.75674e-17,-15.046228207255265,-15.040993027212469
SWIFTJ0959.9+1303,0.14,5.02e-06,1.46529402846e-16,1.46844996922e-16,6.16442e-18,9.9346e-18,-15.834075220276954,-15.83314084550673
SWIFTJ1001.8+2848,0.14,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ1008.6-0955,0.14,2.05e-05,5.98377014134e-16,6.01600284726e-16,2.6935e-17,3.28685e-17,-15.223025097674569,-15.220691966873137
